6	11
0	10
1	11
1	11
0	10
1	11
0	10
3	10
2	11
0	11
1	10
0	11
2	11
2	10
0	10
3	11
2	10
4	10
0	10
0	10
8	8
4	8
5	9
8	8
4	8
10	8
4	9
6	9
6	9
7	9
7	9
4	9
5	9
5	9
4	9
3	8
4	8
3	8
4	9
4	9
5	5
5	5
7	6
5	5
10	6
9	6
7	5
9	6
6	6
8	6
7	6
6	5
11	6
6	6
5	5
6	5
6	5
5	5
7	6
8	6
9	2
8	2
9	3
8	2
8	2
9	2
9	2
10	3
8	3
8	3
11	3
11	2
10	3
10	3
12	3
8	2
8	2
10	3
9	2
10	3
15	1
16	2
14	2
13	1
15	1
12	1
11	1
14	1
15	2
13	1
16	1
15	1
15	2
11	1
14	2
14	1
14	1
13	1
12	2
12	1
15	4
16	4
17	3
16	3
16	3
17	3
15	4
19	3
16	4
21	4
19	4
15	4
16	4
17	4
19	3
17	4
19	4
16	4
16	3
16	4
22	4
19	4
23	4
19	5
21	5
19	4
22	4
22	4
21	5
19	5
19	5
20	5
19	4
23	4
18	4
21	4
23	4
23	4
19	5
19	5
21	9
21	9
21	9
21	8
25	8
23	8
23	8
23	9
26	8
21	9
20	8
23	9
22	8
24	8
26	9
22	8
21	8
21	8
22	9
20	8
24	7
23	7
22	7
22	8
23	7
24	8
25	7
23	7
26	7
25	7
26	8
22	8
22	8
23	7
23	7
24	8
25	8
25	8
24	8
27	7
30	11
25	11
28	12
30	12
27	11
26	11
25	11
25	12
26	12
31	12
26	11
25	11
26	12
26	11
30	11
26	12
25	12
26	11
29	11
26	11
29	14
29	14
31	14
28	13
32	13
30	13
33	14
31	14
29	13
29	13
30	14
29	14
31	14
32	13
28	13
29	14
30	13
29	14
32	14
28	13
34	13
32	14
32	13
35	14
31	14
33	14
34	13
32	14
33	13
32	13
36	13
32	14
33	14
34	13
31	13
32	13
35	14
33	13
32	14
33	14
35	16
34	17
34	16
36	16
34	17
36	17
34	17
35	17
35	17
34	17
39	16
35	16
36	17
36	17
37	17
36	17
37	16
35	17
40	17
36	17
37	19
38	19
39	19
39	20
38	20
37	19
41	20
39	20
40	19
38	20
40	20
39	19
38	20
41	20
37	19
37	19
39	19
40	20
41	19
39	20
40	21
42	20
42	20
41	21
41	20
41	21
41	20
42	21
41	21
41	20
41	21
41	20
41	21
44	21
43	20
41	21
40	20
40	20
41	21
41	20
